name,email,role,department_id,is_active
Vinod Thapa,vinod.thapa@college.com,admin,,True
Anil Kumar,anil.kumar@college.com,admin,,True
Dr. Ramesh Adhikari,ramesh.adhikari@college.com,professor,1,True
Prof. Sunita Sharma,sunita.sharma@college.com,professor,1,True
Dr. Rajesh Joshi,rajesh.joshi@college.com,professor,2,True
Prof. Kritika Thapa,kritika.thapa@college.com,professor,3,True
Dr. Amit Patel,amit.patel@college.com,professor,4,True
Prof. Sandeep Shrestha,sandeep.shrestha@college.com,professor,5,True
Aayush Shrestha,aayush.s@student.com,student,1,True
Rahul Sharma,rahul.s@student.com,student,1,True
Priya Singh,priya.s@student.com,student,1,False
Amit Verma,amit.v@student.com,student,1,True
Sneha Karki,sneha.k@student.com,student,1,True
Vikram Malhotra,vikram.m@student.com,student,2,True
Pooja Chhetri,pooja.c@student.com,student,2,True
Akash Basnet,akash.b@student.com,student,2,False
Neha Kapoor,neha.k@student.com,student,3,True
Rohan Das,rohan.d@student.com,student,3,True
Ananya Joshi,ananya.j@student.com,student,4,True
Birat Thapa,birat.t@student.com,student,4,True
Dipendra Yadav,dipendra.y@student.com,student,5,True
Niranjan Shah,niranjan.s@student.com,student,5,False
Pradeep Paudel,pradeep.p@student.com,student,1,True
Sabina Rai,sabina.rai@student.com,student,1,True
Sandesh Bhattarai,sandesh.b@student.com,student,1,True
Sushmita Sen,sushmita.sen@student.com,student,2,True
Asmita Ale,asmita.ale@student.com,student,2,True
Milan Magar,milan.m@student.com,student,3,True
Aarav Mehta,aarav.m@student.com,student,3,True
Ishita Dutta,ishita.d@student.com,student,4,True
Karan Johar,karan.j@student.com,student,4,False
Deepika Padukone,deepika.p@student.com,student,5,True
Ranbir Kapoor,ranbir.k@student.com,student,5,True
Anjali Pokhrel,anjali.p@student.com,student,1,True
Arjun Thapa,arjun.t@student.com,student,1,True
Bikram Choudhury,bikram.c@student.com,student,1,True
Divya Khosla,divya.k@student.com,student,2,True
Gaurav Tiwari,gaurav.t@student.com,student,2,True
Hari Pradhan,hari.p@student.com,student,3,True
Jyoti Malhotra,jyoti.m@student.com,student,3,False
Kushal Tandon,kushal.t@student.com,student,4,True
Laxmi Narayan,laxmi.n@student.com,student,4,True
Manish Malhotra,manish.m@student.com,student,5,True
Nisha Adhikari,nisha.a@student.com,student,5,True
Om Puri,om.puri@student.com,student,1,True
Prerna Sharma,prerna.s@student.com,student,1,True
Rabi Lamichhane,rabi.l@student.com,student,1,False
Siddharth Malhotra,siddharth.m@student.com,student,2,True
Tanvi Azmi,tanvi.a@student.com,student,2,True
Utsav Mishra,utsav.m@student.com,student,3,True
Varun Dhawan,varun.d@student.com,student,3,True
Yash Birla,yash.b@student.com,student,4,True
Suman Gurung,suman.g@student.com,student,4,True
Abhishek Bachan,abhishek.b@student.com,student,5,True
Bhumika Chawla,bhumika.c@student.com,student,5,True
Chirag Paswan,chirag.p@student.com,student,1,False
Dinesh Karthik,dinesh.k@student.com,student,1,True
Esha Deol,esha.d@student.com,student,1,True
Farhan Akhtar,farhan.a@student.com,student,2,True
Gita Giri,gita.g@student.com,student,2,True
Himanshu Ojha,himanshu.o@student.com,student,3,True
Indu Barma,indu.b@student.com,student,3,True
Jitendra Kumar,jitendra.k@student.com,student,4,True
Kiran KC,kiran.kc@student.com,student,4,False
Lalit Modi,lalit.m@student.com,student,5,True
Mithali Raj,mithali.raj@student.com,student,5,True
Nabin K Bhattarai,nabin.b@student.com,student,1,True
Oshin Sitaula,oshin.s@student.com,student,1,True
Paras Khadka,paras.k@student.com,student,1,True
Sandeep Lamichhane,sandeep.l@student.com,student,2,True
Rekha Thapa,rekha.t@student.com,student,2,True
Rajpal Yadav,rajpal.y@student.com,student,3,True
Sunil Grover,sunil.g@student.com,student,3,False
Kapil Sharma,kapil.s@student.com,student,4,True
Bhuvam Bam,bhuvam.b@student.com,student,4,True
Ashish Chanchlani,ashish.c@student.com,student,5,True
Carry Minati,carry.m@student.com,student,5,True
Swastika Acharya,swastika.a@student.com,student,1,True
Yukti Shrestha,yukti.s@student.com,student,1,True
Samrat Giri,samrat.g@student.com,student,1,True
Rohan Nepal,rohan.n@student.com,student,2,True
Sita Kumal,sita.k@student.com,student,2,True
Gopal Hamal,gopal.h@student.com,student,3,True
Balen Shah,balen.shah@student.com,student,3,False
Harka Sampang,harka.s@student.com,student,4,True
Tshiring Phunjok,tshiring.p@student.com,student,4,True
Pasang Lhamu,pasang.l@student.com,student,5,True
Nima Rinji,nima.r@student.com,student,5,True
Soniya Sharma,soniya.s@student.com,student,1,True
Rajesh Hamal,rajesh.h@college.com,professor,1,True
Karishma Manandhar,karishma.m@college.com,professor,2,True
Dayahang Rai,dayahang.r@college.com,professor,3,True
Anmol KC,anmol.kc@student.com,student,1,True
Pradeep Khadka,pradeep.k@student.com,student,2,True
Swastima Khadka,swastima.k@student.com,student,3,True
Priyanka Karki,priyanka.k@student.com,student,4,False
Ananta Thapa,ananta.t@student.com,student,5,True
Bipin Karki,bipin.k@student.com,student,1,True
Saugat Malla,saugat.m@student.com,student,2,True
Nischal Basnet,nischal.b@student.com,student,3,True
